iri,label,definition,type
http://purl.obolibrary.org/obo/BFO_0000054,has realization,b has realization c =Def c realizes b,property
http://purl.obolibrary.org/obo/BFO_0000055,realizes,"(Elucidation) realizes is a relation between a process b and realizable entity c such that c inheres in some d & for all t, if b has participant d then c exists & the type instantiated by b is correlated with the type instantiated by c",property
http://purl.obolibrary.org/obo/BFO_0000056,participates in,(Elucidation) participates in holds between some b that is either a specifically dependent continuant or generically dependent continuant or independent continuant that is not a spatial region & some process p such that b participates in p some way,property
http://purl.obolibrary.org/obo/BFO_0000057,has participant,p has participant c =Def c participates in p,property
http://purl.obolibrary.org/obo/BFO_0000058,is concretized by,c is concretized by b =Def b concretizes c,property
http://purl.obolibrary.org/obo/BFO_0000059,concretizes,b concretizes c =Def b is a process or a specifically dependent continuant & c is a generically dependent continuant & there is some time t such that c is the pattern or content which b shares at t with actual or potential copies,property
http://purl.obolibrary.org/obo/BFO_0000062,preceded by,b preceded by c =Def b precedes c,property
http://purl.obolibrary.org/obo/BFO_0000063,precedes,"(Elucidation) precedes is a relation between occurrents o, o' such that if t is the temporal extent of o & t' is the temporal extent of o' then either the last instant of o is before the first instant of o' or the last instant of o is the first instant of o' & neither o nor o' are temporal instants",property
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,"b occurs in c =Def b is a process or a process boundary & c is a material entity or site & there exists a spatiotemporal region r & b occupies spatiotemporal region r & for all time t, if b exists at t then c exists at t & there exist spatial regions s and s' where b spatially projects onto s at t & c occupies spatial region s' at t & s is a continuant part of s' at t",property
http://purl.obolibrary.org/obo/BFO_0000084,generically depends on,b generically depends on c =Def b is a generically dependent continuant & c is an independent continuant that is not a spatial region & at some time t there inheres in c a specifically dependent continuant which concretizes b at t,property
http://purl.obolibrary.org/obo/BFO_0000101,is carrier of,b is carrier of c =Def there is some time t such that c generically depends on b at t,property
http://purl.obolibrary.org/obo/BFO_0000108,exists at,(Elucidation) exists at is a relation between a particular and some temporal region at which the particular exists,property
http://purl.obolibrary.org/obo/BFO_0000115,has member part,b has member part c =Def c member part of b,property
http://purl.obolibrary.org/obo/BFO_0000117,has occurrent part,b has occurrent part c =Def c occurrent part of b,property
http://purl.obolibrary.org/obo/BFO_0000121,has temporal part,b has temporal part c =Def c temporal part of b,property
http://purl.obolibrary.org/obo/BFO_0000124,location of,b location of c =Def c located in b,property
http://purl.obolibrary.org/obo/BFO_0000127,material basis of,b material basis of c =Def c has material basis b,property
http://purl.obolibrary.org/obo/BFO_0000129,member part of,"b member part of c =Def b is an object & c is a material entity & there is some time t such that b continuant part of c at t & there is a mutually exhaustive and pairwise disjoint partition of c into objects x1, ..., xn (for some n ≠ 1) with b = xi (for some 1 <= i <= n)",property
http://purl.obolibrary.org/obo/BFO_0000132,occurrent part of,(Elucidation) occurrent part of is a relation between occurrents b and c when b is part of c,property
http://purl.obolibrary.org/obo/BFO_0000139,temporal part of,b temporal part of c =Def b occurrent part of c & (b and c are temporal regions) or (b and c are spatiotemporal regions & b temporally projects onto an occurrent part of the temporal region that c temporally projects onto) or (b and c are processes or process boundaries & b occupies a temporal region that is an occurrent part of the temporal region that c occupies),property
http://purl.obolibrary.org/obo/BFO_0000153,temporally projects onto,(Elucidation) temporally projects onto is a relation between a spatiotemporal region s and some temporal region which is the temporal extent of s,property
http://purl.obolibrary.org/obo/BFO_0000171,located in,b located in c =Def b is an independent continuant & c is an independent & neither is a spatial region & there is some time t such that the spatial region which b occupies at t is continuant part of the spatial region which c occupies at t,property
http://purl.obolibrary.org/obo/BFO_0000176,continuant part of,b continuant part of c =Def b and c are continuants & there is some time t such that b and c exist at t & b part of c at t,property
http://purl.obolibrary.org/obo/BFO_0000178,has continuant part,b has continuant part c =Def c continuant part of b,property
http://purl.obolibrary.org/obo/BFO_0000183,environs,b environs c =Def c occurs in b,property
http://purl.obolibrary.org/obo/BFO_0000184,history of,(Elucidation) history of is a relation between history b and material entity c such that b is the unique history of c,property
http://purl.obolibrary.org/obo/BFO_0000185,has history,b has history c =Def c history of b,property
http://purl.obolibrary.org/obo/BFO_0000194,specifically depended on by,b specifically depended on by c =Def c specifically depends on b,property
http://purl.obolibrary.org/obo/BFO_0000195,specifically depends on,(Elucidation) specifically depends on is a relation between a specifically dependent continuant b and specifically dependent continuant or independent continuant that is not a spatial region c such that b and c share no parts in common & b is of a nature such that at all times t it cannot exist unless c exists & b is not a boundary of c,property
http://purl.obolibrary.org/obo/BFO_0000196,bearer of,b bearer of c =Def c inheres in b,property
http://purl.obolibrary.org/obo/BFO_0000197,inheres in,b inheres in c =Def b is a specifically dependent continuant & c is an independent continuant that is not a spatial region & b specifically depends on c,property
http://purl.obolibrary.org/obo/BFO_0000199,occupies temporal region,p occupies temporal region t =Def p is a process or process boundary & the spatiotemporal region occupied by p temporally projects onto t,property
http://purl.obolibrary.org/obo/BFO_0000200,occupies spatiotemporal region,(Elucidation) occupies spatiotemporal region is a relation between a process or process boundary p and the spatiotemporal region s which is its spatiotemporal extent,property
http://purl.obolibrary.org/obo/BFO_0000210,occupies spatial region,b occupies spatial region r =Def b is an independent continuant that is not a spatial region & r is a spatial region & there is some time t such that every continuant part of b occupies some continuant part of r at t and no continuant part of b occupies any spatial region that is not a continuant part of r at t,property
http://purl.obolibrary.org/obo/BFO_0000216,spatially projects onto,"(Elucidation) spatially projects onto is a relation between some spatiotemporal region b and spatial region c such that at some time t, c is the spatial extent of b at t",property
http://purl.obolibrary.org/obo/BFO_0000218,has material basis,b has material basis c =Def b is a disposition & c is a material entity & there is some d bearer of b & there is some time t such that c is a continuant part of d at t & d has disposition b because c is a continuant part of d at t,property
http://purl.obolibrary.org/obo/BFO_0000221,first instant of,t first instant of t' =Def t is a temporal instant & t' is a temporal region t' & t precedes all temporal parts of t' other than t,property
http://purl.obolibrary.org/obo/BFO_0000222,has first instant,t has first instant t' =Def t' first instant of t,property
http://purl.obolibrary.org/obo/BFO_0000223,last instant of,t last instant of t' =Def t is a temporal instant & t' is a temporal region & all temporal parts of t' other than t precede t,property
http://purl.obolibrary.org/obo/BFO_0000224,has last instant,t has last instant t' =Def t' last instant of t,property
http://purl.obolibrary.org/obo/BFO_0000001,entity,(Elucidation) An entity is anything that exists or has existed or will exist,class
http://purl.obolibrary.org/obo/BFO_0000002,continuant,"(Elucidation) A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity",class
